ra,dec,Instrument,Source,SIMBAD_Name,Source_Type
311.0407,-10.723457000000002,sxt, Mrk 509,Mrk  509,Seyfert_1
308.063667,37.637471999999995,sxt, EXO 2030+375,V* V2246 Cyg,HMXB
274.005787,-14.036283,laxpc2, GX 17+2,V* NP Ser,LMXB
248.506708,-47.393,laxpc1, 4u1630-472,X Nor X-1,LMXB
356.77015,51.70497,laxpc1, 1ES2344+514,QSO B2344+514,BLLac
237.370539,47.104903,laxpc1, Sky-9_75_50,0.0,0.0
83.633083,22.014494,sxt, Crab,M   1,SNR
237.370539,47.104903,laxpc1, Sky-9_75_50,0.0,0.0
83.633083,22.014494,sxt, Crab,M   1,SNR
12.08,85.223917,uvit1, NGC 188,Cl* NGC  188    DGV     702,Star
83.633083,22.014494,laxpc2, Crab,M   1,SNR
23.461667000000002,30.726667,uvit2, M33,IFM-B 1049,Star
248.506708,-47.393,laxpc1, 4u1630-472,X Nor X-1,LMXB
254.457542,35.342333,laxpc1, Her X-1,V* HZ Her,LMXB
248.811667,38.1525,sxt, 4C +38.41,0.0,0.0
24.17395,15.783660000000001,uvit1, NGC628,[CHP2004] J013641.7+154701,X
254.457546,35.342357,uvit1, Hercules X-1,V* HZ Her,LMXB
12.08,85.223917,uvit1, NGC 188,Cl* NGC  188    DGV     702,Star
254.457542,35.342333,laxpc2, HER X-1,V* HZ Her,LMXB
57.604029000000004,17.246509,sxt, V471 Tau,V* V471 Tau,EB*
248.811667,38.1525,sxt, 4C +38.41,0.0,0.0
267.60175,-29.037611,sxt, SAX 1750.8-2009,SAX J1750.8-2900,LMXB
26.012292000000002,61.888971999999995,uvit1, NGC 654(2),EM* GGA   83,Be*
294.998792,-30.96475,uvit2, NGC 6809,M  55,GlCl
332.880708,18.092833,uvit2, BD+17 4708,BD+17  4708,SB*
340.611792,-50.066917,uvit2, HE 2239-5019,HE 2239-5019,Pec*
39.960829,18.024279999999997,uvit1, NGC 1030,NGC  1030,GinGroup
322.680792,-60.001830000000005,uvit1, IC 5110,IC 5110,IG
322.680792,-60.001830000000005,uvit1, IC 5110,IC 5110,IG
310.463163,-32.43523,sxt, AT Mic,V* AT Mic,Eruptive*
69.95683299999999,-68.150389,uvit1, RX J0439.8-6809,1ES 0439-68.2,CataclyV*
83.633208,22.01446,sxt, Crab,M   1,SNR
316.7575,42.236111,uvit1, NGC 7027,NGC  7027,PN
314.637079,-49.28472,uvit1, ESO235-IG023,MCL 26 205503.0-492842,GroupG
312.258667,30.404971999999997,uvit1, NGC 6960-IV,0.0,0.0
311.885958,30.741139,uvit1, NGC 6960-V,TYC 2687-2493-1,Star
312.426,29.988861,uvit1, NGC 6960-VI,0.0,0.0
312.791042,30.071333000000003,uvit1, NGC 6960-VII,0.0,0.0
312.258667,30.404971999999997,uvit1, NGC 6960-IV,0.0,0.0
312.881625,29.067721999999996,uvit1, Cygnus S-1,0.0,0.0
311.885958,30.741139,uvit1, NGC 6960-V,TYC 2687-2493-1,Star
312.426,29.988861,uvit1, NGC 6960-VI,0.0,0.0
284.148642,-37.91015,sxt, RX J1856.6-3754,PSR J1856-3754,Pulsar
83.633208,22.01446,sxt, Crab,M   1,SNR
83.428,22.015,czt1, Crab Offset,[SPB96]  854,UV
359.253083,-34.680539,uvit1, Abell4059,ESO 349-9,GinCl
359.782958,-30.627969,sxt, 1H 2354-315,QSO B2356-309,BLLac
290.884121,-21.07593,sxt, PMN J1923-2104,[VV2006] J192332.2-210433,QSO
65.001675,-54.937938,sxt, NGC1566,NGC  1566,Seyfert_1
237.391917,70.348089,laxpc1, Blank Sky-8,0.0,0.0
174.11,70.1575,sxt, Mrk 180,6C 113337+702604,BLLac
174.11,70.1575,sxt, Mrk 180,6C 113337+702604,BLLac
333.879167,-17.734722,sxt, XMMBlankF8,LBQS 2212-1759,QSO
2.4699169999999997,-18.270139,uvit2, HE 0007-1832,HE 0007-1832,Pec*
2.4699169999999997,-18.270139,uvit2, HE 0007-1832,HE 0007-1832,Pec*
63.938042,-55.59225,uvit1, NGC 1549,NGC  1549,GinPair
63.938042,-55.59225,uvit1, NGC 1549,NGC  1549,GinPair
63.938042,-55.59225,uvit1, NGC 1549,NGC  1549,GinPair
64.476458,-55.93289,uvit1, IC 2058,IC 2058,EmG
64.476458,-55.93289,uvit1, IC 2058,IC 2058,EmG
64.476458,-55.93289,uvit1, IC 2058,IC 2058,EmG
64.04362900000001,-55.78014,uvit1, NGC 1553,NGC  1553,GinPair
64.04362900000001,-55.78014,uvit1, NGC 1553,NGC  1553,GinPair
6.022329,-72.08144399999999,uvit1, 47 Tuc,PSR J0024-7204V,Pulsar
356.757079,29.471109999999996,uvit1, arp86,APG  86,PairG
355.637292,-65.9565,uvit1, NGC 7733,NGC  7733,Seyfert_2
